pattern;Creating automata (mean);Creating automata (std);Searching (mean);Searching (std)
pattern;0.06604673862457275;0.007405024724450298;1.4177693128585815;0.10211959629428544
e;0.00475761890411377;0.0002195117786158312;1.0621271848678588;0.014376367041317771
