pattern;Creating automata (mean);Creating automata (std);Searching (mean);Searching (std)
pattern;0.07115952968597412;0.010281840024709051;3.0270065307617187;0.21034271261797
e;0.006081533432006836;0.001004003220147677;2.26214714050293;0.16004802976001592
